,type,id,attributes.board_time,attributes.custom_image,attributes.description,attributes.discount_percentage,attributes.end_time,attributes.flash_sale_line_score,attributes.is_promo,attributes.line_score,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id
0,projection,1128575,2023-03-07T15:08:00-05:00,https://i.imgur.com/dCzLI4y.png,UTA,15.0,2023-03-07T18:00:00-05:00,21.5,True,25.5,Single Stat,0,True,2023-03-07T18:00:00-05:00,Points,pre_game,,2023-03-07T15:08:28-05:00,,league,7,new_player,96236,projection_type,2,stat_type,19
1,projection,1126816,2023-03-07T10:10:00-05:00,,ORL,,,,False,8.0,Single Stat,1,True,2023-03-07T19:10:00-05:00,Rebounds,pre_game,,2023-03-07T14:52:25-05:00,,league,7,new_player,1683,projection_type,2,stat_type,22
2,projection,1127262,2023-03-07T10:10:00-05:00,,ORL,,,,False,35.5,Fantasy Score,1,True,2023-03-07T19:00:00-05:00,Fantasy Score,pre_game,,2023-03-07T14:52:25-05:00,,league,7,new_player,1683,projection_type,1,stat_type,14
3,projection,1126861,2023-03-07T10:10:00-05:00,,ORL,,,,False,19.5,Single Stat,1,True,2023-03-07T19:10:00-05:00,Pts+Asts,pre_game,,2023-03-07T14:52:25-05:00,,league,7,new_player,1683,projection_type,2,stat_type,244
4,projection,1126785,2023-03-07T10:10:00-05:00,,ORL,,,,False,17.5,Single Stat,1,True,2023-03-07T19:10:00-05:00,Points,pre_game,,2023-03-07T14:52:25-05:00,,league,7,new_player,1683,projection_type,2,stat_type,19
5,projection,1126840,2023-03-07T10:10:00-05:00,,ORL,,,,False,27.5,Single Stat,1,True,2023-03-07T19:10:00-05:00,Pts+Rebs+Asts,pre_game,,2023-03-07T14:52:25-05:00,,league,7,new_player,1683,projection_type,2,stat_type,106
6,projection,1126855,2023-03-07T10:10:00-05:00,,ORL,,,,False,25.5,Single Stat,1,True,2023-03-07T19:10:00-05:00,Pts+Rebs,pre_game,,2023-03-07T14:52:25-05:00,,league,7,new_player,1683,projection_type,2,stat_type,243
7,projection,1126856,2023-03-06T23:38:00-05:00,,MIL,,,,False,21.5,Single Stat,2,True,2023-03-07T19:10:00-05:00,Pts+Rebs,pre_game,,2023-03-07T00:17:23-05:00,,league,7,new_player,55372,projection_type,2,stat_type,243
8,projection,1126841,2023-03-06T23:36:00-05:00,,MIL,,,,False,24.5,Single Stat,2,True,2023-03-07T19:10:00-05:00,Pts+Rebs+Asts,pre_game,,2023-03-06T23:44:30-05:00,,league,7,new_player,55372,projection_type,2,stat_type,106
9,projection,1126862,2023-03-06T23:40:00-05:00,,MIL,,,,False,19.5,Single Stat,2,True,2023-03-07T19:10:00-05:00,Pts+Asts,pre_game,,2023-03-07T00:00:33-05:00,,league,7,new_player,55372,projection_type,2,stat_type,244
10,projection,1127263,2023-03-07T10:00:00-05:00,,MIL,,,,False,28.0,Fantasy Score,2,True,2023-03-07T19:00:00-05:00,Fantasy Score,pre_game,,2023-03-07T10:08:18-05:00,,league,7,new_player,55372,projection_type,1,stat_type,14
11,projection,1126786,2023-03-06T23:28:00-05:00,,MIL,,,,False,17.5,Single Stat,2,True,2023-03-07T19:10:00-05:00,Points,pre_game,,2023-03-06T23:28:50-05:00,,league,7,new_player,55372,projection_type,2,stat_type,19
12,projection,1127391,2023-03-07T10:00:00-05:00,,MIL,,,,False,4.0,Single Stat,2,True,2023-03-07T19:00:00-05:00,Rebounds,pre_game,,2023-03-07T10:09:23-05:00,,league,7,new_player,55372,projection_type,2,stat_type,22
13,projection,1128591,2023-03-07T15:47:00-05:00,,ORL,,,,False,33.5,Fantasy Score,3,True,2023-03-07T19:10:00-05:00,Fantasy Score,pre_game,,2023-03-07T15:47:47-05:00,,league,7,new_player,1677,projection_type,1,stat_type,14
14,projection,1128590,2023-03-07T15:46:00-05:00,,ORL,,,,False,11.0,Single Stat,3,True,2023-03-07T19:10:00-05:00,Rebs+Asts,pre_game,,2023-03-07T15:49:00-05:00,,league,7,new_player,1677,projection_type,2,stat_type,245
15,projection,1128582,2023-03-07T15:45:00-05:00,,ORL,,,,False,6.0,Single Stat,3,True,2023-03-07T19:10:00-05:00,Assists,pre_game,,2023-03-07T15:46:06-05:00,,league,7,new_player,1677,projection_type,2,stat_type,20
16,projection,1128588,2023-03-07T15:46:00-05:00,,ORL,,,,False,23.0,Single Stat,3,True,2023-03-07T19:10:00-05:00,Pts+Rebs,pre_game,,2023-03-07T15:46:47-05:00,,league,7,new_player,1677,projection_type,2,stat_type,243
17,projection,1128577,2023-03-07T15:44:00-05:00,,ORL,,,,False,18.0,Single Stat,3,True,2023-03-07T19:10:00-05:00,Points,pre_game,,2023-03-07T15:45:09-05:00,,league,7,new_player,1677,projection_type,2,stat_type,19
18,projection,1128589,2023-03-07T15:46:00-05:00,,ORL,,,,False,23.5,Single Stat,3,True,2023-03-07T19:10:00-05:00,Pts+Asts,pre_game,,2023-03-07T15:48:13-05:00,,league,7,new_player,1677,projection_type,2,stat_type,244
19,projection,1128581,2023-03-07T15:44:00-05:00,,ORL,,,,False,5.0,Single Stat,3,True,2023-03-07T19:10:00-05:00,Rebounds,pre_game,,2023-03-07T15:45:46-05:00,,league,7,new_player,1677,projection_type,2,stat_type,22
20,projection,1128585,2023-03-07T15:45:00-05:00,,ORL,,,,False,28.5,Single Stat,3,True,2023-03-07T19:10:00-05:00,Pts+Rebs+Asts,pre_game,,2023-03-07T15:45:53-05:00,,league,7,new_player,1677,projection_type,2,stat_type,106
21,projection,1126789,2023-03-06T23:28:00-05:00,,MIL,,,,False,14.5,Single Stat,4,True,2023-03-07T19:10:00-05:00,Points,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,19
22,projection,1126843,2023-03-06T23:36:00-05:00,,MIL,,,,False,25.5,Single Stat,4,True,2023-03-07T19:10:00-05:00,Pts+Rebs+Asts,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,106
23,projection,1128211,2023-03-07T12:48:00-05:00,,MIL,,,,False,2.5,Single Stat,4,True,2023-03-07T19:10:00-05:00,Free Throws Made,pre_game,,2023-03-07T14:15:02-05:00,,league,7,new_player,1967,projection_type,2,stat_type,68
24,projection,1127265,2023-03-07T10:00:00-05:00,,MIL,,,,False,31.5,Fantasy Score,4,True,2023-03-07T19:00:00-05:00,Fantasy Score,pre_game,,2023-03-07T10:08:18-05:00,,league,7,new_player,1967,projection_type,1,stat_type,14
25,projection,1126859,2023-03-06T23:38:00-05:00,,MIL,,,,False,19.5,Single Stat,4,True,2023-03-07T19:10:00-05:00,Pts+Rebs,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,243
26,projection,1126871,2023-03-06T23:42:00-05:00,,MIL,,,,False,1.5,Single Stat,4,True,2023-03-07T19:10:00-05:00,Blks+Stls,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,105
27,projection,1126865,2023-03-06T23:40:00-05:00,,MIL,,,,False,20.5,Single Stat,4,True,2023-03-07T19:10:00-05:00,Pts+Asts,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,244
28,projection,1126832,2023-03-06T23:34:00-05:00,,MIL,,,,False,5.0,Single Stat,4,True,2023-03-07T19:10:00-05:00,Assists,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,20
29,projection,1126818,2023-03-06T23:32:00-05:00,,MIL,,,,False,5.0,Single Stat,4,True,2023-03-07T19:10:00-05:00,Rebounds,pre_game,,2023-03-07T14:13:55-05:00,,league,7,new_player,1967,projection_type,2,stat_type,22
30,projection,1127266,2023-03-07T10:10:00-05:00,,ORL,,,,False,21.5,Fantasy Score,5,True,2023-03-07T19:00:00-05:00,Fantasy Score,pre_game,,2023-03-07T15:28:32-05:00,,league,7,new_player,53977,projection_type,1,stat_type,14
31,projection,1126868,2023-03-06T23:41:00-05:00,,MIL,,,,False,10.5,Single Stat,5,True,2023-03-07T19:10:00-05:00,Rebs+Asts,pre_game,,2023-03-06T23:55:29-05:00,,league,7,new_player,1967,projection_type,2,stat_type,245
32,projection,1126788,2023-03-07T10:10:00-05:00,,ORL,,,,False,11.5,Single Stat,5,True,2023-03-07T19:10:00-05:00,Points,pre_game,,2023-03-07T15:28:32-05:00,,league,7,new_player,53977,projection_type,2,stat_type,19
33,projection,1126858,2023-03-07T10:10:00-05:00,,ORL,,,,False,14.5,Single Stat,5,True,2023-03-07T19:10:00-05:00,Pts+Rebs,pre_game,,2023-03-07T15:28:32-05:00,,league,7,new_player,53977,projection_type,2,stat_type,243
34,projection,1126864,2023-03-07T10:10:00-05:00,,ORL,,,,False,14.5,Single Stat,5,True,2023-03-07T19:10:00-05:00,Pts+Asts,pre_game,,2023-03-07T15:28:32-05:00,,league,7,new_player,53977,projection_type,2,stat_type,244
